"Associate","Location_Name","Type","Ref_No","Location Ref","Id","Notes","Address","City","State","Postal_Code","Address Country","Region","Country","Alternate Factor Region","Group Level 1","Group Level 2","Group Level 3","Group_Associate","Report_Percent","Effective_From","Effective_To","Group_Type","Latitude","Longitude","ANZSIC Code","Opened On","Closed On"
"Downer",".HOUR.LMC -RICHTER DRI'G PNG CENTURY R","Other","L9.MIN.UED.4501","4501","","",,,,,"","Auckland","New Zealand",,"Operational Control","Operational Control","Mining","Downer","100.0000",,,"Classification",,,,,
"Downer",".HOUR.RICHTER DRILLING - OK TEDI","Other","L9.MIN.UED.4502","4502","","",,,,,"","Auckland","New Zealand",,"Operational Control","Operational Control","Mining","Downer","100.0000",,,"Classification",,,,,
"Downer","[CLOSED] 4 Redwood Lane - Tauriko West Enabling Works","Depot","L9.DNZJ.553912","L9.DNZJ.553912","","",,,,,"","Bay of Plenty","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification",,,,,2026/03/31
"Downer","[CLOSED] Hobart Airport Upgrade Project","Airport","L9.J.170751","170751","","TI-170751 - Airports General Delivery","250 Surf Road, Seven Mile Beach","Tasmania","TAS","7170","","Tasmania","Australia",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification",,,,,2025/05/31
"Downer","[CLOSED] Numurkah Solar Farm","Other","L9.J.381155","IP-39210265","","",,,,,"","Shepparton","Australia",,"Y_Non Operational Control","Y_Non Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification","-37.819015","144.955762","310",,
"Downer","_AI Testing","Other","","","","",,,,,"","North Ryde","Australia",,"Y_Non Operational Control","Y_Non Operational Control","Corporate","Downer","100.0000",,,"Classification",,,,,
"Downer","_CLOSED_ AGIS Braddon","Office","L9.J.502002","2001","2001","electricity data only from landlord accounts",,,,,"","Australian Capital Territory","Australia",,"Operational Control","Operational Control","Social Infra & Citizen Serv (SICS)","Downer","100.0000",2018/11/01,2021/10/31,"Classification","-35.273","149.133","760",2016/08/01,2022/12/06
"Downer","_CLOSED_ North Ryde T1 - Level 2","Office","L9.J.102001","1012","","","T1, Triniti Business Campus, 39 Delhi Road","Sydney","NSW","2113","","North Ryde","Australia",,"Operational Control","Operational Control","Corporate","Downer","100.0000",,,"Classification",,,"729",,1900/01/01
"Downer","_CLOSED_ OSM_Waitaki","Other","L9.DNZJ.55876","5088","","Outside Space Management (Gardening) - New facilities established for more granular reporting and to reflect new structure for FY17. See facility named ""NZ-Infrastructure Services"" for historical data.","Chelmer Street","Oamaru","Otago","2104","New Zealand","Oamaru","New Zealand",,"Operational Control","Operational Control","Transport & Infrastructure (T&I)","Downer","100.0000",,,"Classification","-45.0978481999999","170.9606991","731",2017/07/01,
"Downer","_CLOSED_25820008 - Winneke Main Substation Switchboard Replacement","Site","L9.J.25820008","UTIL-25820008","","Main Substation Switchboard Replacement - Project finished in September 2022.",,,,,"","Victoria","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2022/10/01
"Downer","_CLOSED_25820008 - Winneke Main Substation Switchboard Replacement","Site","L9.J.25820008","UTIL-25820008","","Main Substation Switchboard Replacement - Project finished in September 2022.",,,,,"","Victoria","Australia",,"Utilities","UTIL-252 - Water Services Projects NSW/VIC","SFP JV","Downer","100.0000",,,"Portfolio",,,,,2022/10/01
"Downer","_CLOSED_25820012 - WTP 25W Lagoon Pond 1 HV and LV Renewals","Site","L9.J.25820012","UTIL-25820012","","WTP 25W Lagoon Pond 1 HV and LV Renewals",,,,,"","Victoria","Australia",,"Operational Control","Operational Control","Energy and Utilities (EU)","Downer","100.0000",,,"Classification",,,,,2024/12/03
"Downer","_CLOSED_25820012 - WTP 25W Lagoon Pond 1 HV and LV Renewals","Site","L9.J.25820012","UTIL-25820012","","WTP 25W Lagoon Pond 1 HV and LV Renewals",,,,,"","Victoria","Australia",,"Utilities","UTIL-252 - Water Services Projects NSW/VIC","SFP JV","Downer","100.0000",,,"Portfolio",,,,,2024/12/03
"Downer","_CLOSED_86 Collins St Tas","Branch Office","L9.J.105001","9164","","Level 12, 86 Collins Street
HOBART  TAS  7000",,,,,"","Hobart","Australia",,"Operational Control","Operational Control","Corporate","Downer","100.0000",,,"Classification",,,"692",,
"Downer","_CLOSED_Accommodation - NZ","Hotel","L9.WAU.000887","L9.WAU.000887","","",,,,,"","Auckland","New Zealand",,"Operational Control","Operational Control","Corporate","Downer","100.0000",,,"Classification",,,,,
