Account Link,Supplier,Account Number,Account Reference,Data Type,Proposed Location,Proposed Location Ref_No,Proposed Location Ref,Match Basis,Confidence
6401431,Aurora,1032371065_8000326927,,Electricity [kWh],Asphalt Prod - Mowbray (360),L9.J.17030565,360,NMI 8000326927 matches account(s) already allocated to this location (superseded/closed matches also at: _CLOSED_Asphalt Prod - Mowbray (OLD)),High
6401432,Aurora,103237107_8000002117,,Electricity [kWh],Asphalt Prod - Hobart (329),L9.J.17030565,17030565,NMI 8000002117 matches account(s) already allocated to this location,High
6390601,BOC,1006152_Acetylene,DOWNER NZ LTD (RC161),Other Gaseous Fossil Fuels [m3],Palmerston North Depot,L9.DNZJ.55590,55590,BOC account 1006152 already allocated to this location (other gas type / prior record),High
6401140,BOC,1411257_LPG Stationary,DOWNER EDI WORKS PTY LTD,Liquefied Petroleum Gas (LPG) Stationary [L],Austins Ferry,L9.J.17030687,12,BOC account 1411257 already allocated to this location (other gas type / prior record),High
6401141,BOC,2085026_Acetylene,SPOTLESS - AA22/007A,Other Gaseous Fossil Fuels [m3],Defence QLD,,9138,BOC account 2085026 already allocated to this location (other gas type / prior record),High
6400661,CSEnergy,1003081_QB05383854,,Electricity [kWh],Asphalt Prod - Archerfield (406),L9.J.170406,406,NMI QB05383854 matches account(s) already allocated to this location,High
6400663,CSEnergy,1003083_QB06082220,,Electricity [kWh],MT-Carrara,L9.J.39510068,MT-39510068,NMI QB06082220 matches account(s) already allocated to this location,High
6400664,CSEnergy,1003084_3117134943,,Electricity [kWh],Teneriffe - Brisbane (QLD),L9.J.10920048,1020,NMI 3117134943 matches account(s) already allocated to this location,High
6400665,CSEnergy,1003085_3120129028,,Electricity [kWh],Gympie,L9.J.17040613,142,NMI 3120129028 matches account(s) already allocated to this location,High
6400666,CSEnergy,1003086_3116600011,,Electricity [kWh],Richlands,L9.ENG.340.14505,2023,NMI 3116600011 matches account(s) already allocated to this location,High
6402905,EngieAU,900018192_3116600011,,Electricity [kWh],Richlands,L9.ENG.340.14505,2023,NMI 3116600011 matches account(s) already allocated to this location,High
6402906,EngieAU,900018193_QB06082220,,Electricity [kWh],MT-Carrara,L9.J.39510068,MT-39510068,NMI QB06082220 matches account(s) already allocated to this location,High
6402209,EngieAU,900018202_3030075637,,Electricity [kWh],Corporate - Offices (Cairns QLD),L9.WAU.000812,L9.WAU.000812,NMI 3030075637 matches account(s) already allocated to this location,High
6402907,EngieAU,900018206_2001160742,,Electricity [kWh],Gillman - PAV,L9.J.17050664,L9.J.17050664,NMI 2001160742 matches account(s) already allocated to this location,High
6402908,EngieAU,900018207_SAAAAAC481,,Electricity [kWh],Largs Bay,L9.J.17090106,163,NMI SAAAAAC481 matches account(s) already allocated to this location,High
6402909,EngieAU,900018208_SAAAAAB023,,Electricity [kWh],Largs Bay,L9.J.17090106,163,NMI SAAAAAB023 matches account(s) already allocated to this location,High
6402910,EngieAU,900018209_2002254877,,Electricity [kWh],Asphalt Prod - Wingfield (523),L9.J.170523,523,NMI 2002254877 matches account(s) already allocated to this location,High
6402210,EngieAU,900018210_6407695655,,Electricity [kWh],"Mulgrave - Wellington Rd, Clayton",L9.S.13000873,9118,NMI 6407695655 matches account(s) already allocated to this location,High
6402911,EngieAU,900018211_6407100027,,Electricity [kWh],Dandenong - PAV,L9.J.17092061,517,NMI 6407100027 matches account(s) already allocated to this location,High
6402912,EngieAU,900018212_6203753676,,Electricity [kWh],Utilities Derrimut Office,L9.J.24170110,7010,NMI 6203753676 matches account(s) already allocated to this location,High
6402913,EngieAU,900018213_VBBB002698,,Electricity [kWh],Asphalt Prod - Wodonga (315),L9.J.17010341,315,NMI VBBB002698 matches account(s) already allocated to this location,High
6402914,EngieAU,900018214_6204134328,,Electricity [kWh],Asphalt Prod - Shepparton (308),L9.J.17030534,308,NMI 6204134328 matches account(s) already allocated to this location,High
6402915,EngieAU,900018215_6305920528,,Electricity [kWh],Asphalt Prod - Bayswater (302),L9.J.17032626,302,NMI 6305920528 matches account(s) already allocated to this location,High
6402916,EngieAU,900018216_VDDD001226,,Electricity [kWh],Somerton Emulsion Plant,L9.J.17030134,8001,NMI VDDD001226 matches account(s) already allocated to this location (superseded/closed matches also at: Somerton Rail Depot),High
6402917,EngieAU,900018217_6001311036,,Electricity [kWh],Asphalt Prod - Somerton (303),L9.J.17032627,L9.J.17032627,NMI 6001311036 matches account(s) already allocated to this location,High
6402918,EngieAU,900018218_6305885252,,Electricity [kWh],Gippsland Asphalt - Bairnsdale,L9.J.176103.1,103.1,NMI 6305885252 matches account(s) already allocated to this location,High
6402919,EngieAU,900018219_6306009124,,Electricity [kWh],Asphalt Prod - Traralgon (300),L9.J.17030829,300,NMI 6306009124 matches account(s) already allocated to this location,High
6401449,Ergon,A-11525536_3053135053,,Electricity [kWh],Asphalt Prod - Mackay (400),L9.J.173130,173130,NMI 3053135053 matches account(s) already allocated to this location,High
6401960,Ergon,A-30EB9310_3051446111,,Electricity [kWh],RPQ Townsville,L9.J.171235,171235,NMI 3051446111 matches account(s) already allocated to this location,High
6401961,Ergon,A-6BDCA674_3050097725,,Electricity [kWh],RPQ Mackay Depot,L9.J.173130,173130,NMI 3050097725 matches account(s) already allocated to this location,High
